Территория;Общее количество
Российская Федерация;9354.0
Центральный федеральный округ;2446.0
Белгородская область;90.0
Брянская область;30.0
Владимирская область;107.0
Воронежская область;179.0
Ивановская область;80.0
Калужская область;70.0
Костромская область;69.0
Курская область;93.0
Липецкая область;85.0
гор. Москва;753.0
Московская область;291.0
Орловская область;43.0
Рязанская область;95.0
Смоленская область;54.0
Тамбовская область;78.0
Тверская область;106.0
Тульская область;123.0
Ярославская область;100.0
Северо-Западный федеральный округ;825.0
Республика Карелия;28.0
Республика Коми;39.0
Архангельская область;30.0
Вологодская область;99.0
Калининградская область;88.0
Ленинградская область;107.0
гор. Санкт-Петербург;288.0
Мурманская область;34.0
Новгородская область;54.0
Псковская область;53.0
Ненецкий автономный округ;5.0
Южный федеральный округ;1165.0
Республика Адыгея (Адыгея);38.0
Республика Калмыкия;55.0
Республика Крым;82.0
Краснодарский край;470.0
Астраханская область;72.0
Волгоградская область;178.0
Ростовская область;216.0
гор. Севастополь;54.0
Северо-Кавказский федеральный округ;510.0
Республика Дагестан;147.0
Республика Ингушетия;22.0
Кабардино-Балкарская Республика;56.0
Карачаево-Черкесская Республика;29.0
Республика Северная Осетия-Алания;65.0
Чеченская Республика;12.0
Ставропольский край;179.0
Приволжский федеральный округ;1843.0
Республика Башкортостан;227.0
Республика Марий Эл;38.0
Республика Мордовия;36.0
Республика Татарстан (Татарстан);196.0
Удмуртская Республика;136.0
Чувашская Республика - Чувашия;47.0
Пермский край;146.0
Кировская область;99.0
Нижегородская область;307.0
Оренбургская область;96.0
Пензенская область;107.0
Самарская область;187.0
Саратовская область;166.0
Ульяновская область;55.0
Уральский федеральный округ;760.0
Курганская область;47.0
Свердловская область;219.0
Тюменская область;189.0
Челябинская область;249.0
Ханты-Мансийский автономный округ - Югра;43.0
Ямало-Ненецкий автономный округ;13.0
Сибирский федеральный округ;1126.0
Республика Алтай;25.0
Республика Тыва;40.0
Республика Хакасия;31.0
Алтайский край;205.0
Красноярский край;212.0
Иркутская область;138.0
Кемеровская область - Кузбасс;162.0
Новосибирская область;150.0
Омская область;142.0
Томская область;21.0
Дальневосточный федеральный округ;679.0
Республика Бурятия;83.0
Республика Саха (Якутия);59.0
Забайкальский край;83.0
Приморский край;183.0
Камчатский край;26.0
Хабаровский край;115.0
Амурская область;82.0
Магаданская область;12.0
Сахалинская область;20.0
Еврейская автономная область;13.0
Чукотский автономный округ;3.0
Федеральные территории;0.0
Сириус;0.0
