Российская Федерация;516.0
Центральный федеральный округ;161.0
Белгородская область;9.0
Брянская область;0.0
Владимирская область;7.0
Воронежская область;13.0
Ивановская область;5.0
Калужская область;3.0
Костромская область;5.0
Курская область;8.0
Липецкая область;5.0
гор. Москва;51.0
Московская область;19.0
Орловская область;4.0
Рязанская область;2.0
Смоленская область;2.0
Тамбовская область;2.0
Тверская область;10.0
Тульская область;11.0
Ярославская область;5.0
Северо-Западный федеральный округ;38.0
Республика Карелия;0.0
Республика Коми;1.0
Архангельская область;2.0
Вологодская область;5.0
Калининградская область;4.0
Ленинградская область;6.0
гор. Санкт-Петербург;14.0
Мурманская область;1.0
Новгородская область;2.0
Псковская область;3.0
Ненецкий автономный округ;0.0
Южный федеральный округ;71.0
Республика Адыгея (Адыгея);2.0
Республика Калмыкия;2.0
Республика Крым;5.0
Краснодарский край;30.0
Астраханская область;5.0
Волгоградская область;10.0
Ростовская область;11.0
гор. Севастополь;6.0
Северо-Кавказский федеральный округ;22.0
Республика Дагестан;6.0
Республика Ингушетия;1.0
Кабардино-Балкарская Республика;3.0
Карачаево-Черкесская Республика;0.0
Республика Северная Осетия-Алания;2.0
Чеченская Республика;1.0
Ставропольский край;9.0
Приволжский федеральный округ;96.0
Республика Башкортостан;5.0
Республика Марий Эл;2.0
Республика Мордовия;3.0
Республика Татарстан (Татарстан);6.0
Удмуртская Республика;6.0
Чувашская Республика - Чувашия;3.0
Пермский край;4.0
Кировская область;5.0
Нижегородская область;20.0
Оренбургская область;5.0
Пензенская область;9.0
Самарская область;9.0
Саратовская область;15.0
Ульяновская область;4.0
Уральский федеральный округ;41.0
Курганская область;4.0
Свердловская область;13.0
Тюменская область;12.0
Челябинская область;10.0
Ханты-Мансийский автономный округ - Югра;1.0
Ямало-Ненецкий автономный округ;1.0
Сибирский федеральный округ;54.0
Республика Алтай;1.0
Республика Тыва;0.0
Республика Хакасия;1.0
Алтайский край;12.0
Красноярский край;9.0
Иркутская область;4.0
Кемеровская область - Кузбасс;11.0
Новосибирская область;10.0
Омская область;5.0
Томская область;1.0
Дальневосточный федеральный округ;33.0
Республика Бурятия;2.0
Республика Саха (Якутия);1.0
Забайкальский край;3.0
Приморский край;11.0
Камчатский край;2.0
Хабаровский край;7.0
Амурская область;5.0
Магаданская область;1.0
Сахалинская область;0.0
Еврейская автономная область;1.0
Чукотский автономный округ;0.0
Федеральные территории;0.0
Сириус;0.0
Российская Федерация;548.0
Центральный федеральный округ;139.0
Белгородская область;7.0
Брянская область;2.0
Владимирская область;6.0
Воронежская область;8.0
Ивановская область;3.0
Калужская область;3.0
Костромская область;3.0
Курская область;5.0
Липецкая область;3.0
гор. Москва;45.0
Московская область;13.0
Орловская область;1.0
Рязанская область;5.0
Смоленская область;2.0
Тамбовская область;7.0
Тверская область;11.0
Тульская область;8.0
Ярославская область;7.0
Северо-Западный федеральный округ;51.0
Республика Карелия;0.0
Республика Коми;2.0
Архангельская область;2.0
Вологодская область;6.0
Калининградская область;6.0
Ленинградская область;7.0
гор. Санкт-Петербург;17.0
Мурманская область;1.0
Новгородская область;3.0
Псковская область;7.0
Ненецкий автономный округ;0.0
Южный федеральный округ;66.0
Республика Адыгея (Адыгея);0.0
Республика Калмыкия;4.0
Республика Крым;7.0
Краснодарский край;19.0
Астраханская область;3.0
Волгоградская область;15.0
Ростовская область;16.0
гор. Севастополь;2.0
Северо-Кавказский федеральный округ;30.0
Республика Дагестан;6.0
Республика Ингушетия;2.0
Кабардино-Балкарская Республика;4.0
Карачаево-Черкесская Республика;1.0
Республика Северная Осетия-Алания;5.0
Чеченская Республика;2.0
Ставропольский край;10.0
Приволжский федеральный округ;129.0
Республика Башкортостан;17.0
Республика Марий Эл;4.0
Республика Мордовия;3.0
Республика Татарстан (Татарстан);14.0
Удмуртская Республика;8.0
Чувашская Республика - Чувашия;5.0
Пермский край;11.0
Кировская область;7.0
Нижегородская область;24.0
Оренбургская область;7.0
Пензенская область;5.0
Самарская область;10.0
Саратовская область;9.0
Ульяновская область;5.0
Уральский федеральный округ;30.0
Курганская область;4.0
Свердловская область;6.0
Тюменская область;6.0
Челябинская область;12.0
Ханты-Мансийский автономный округ - Югра;1.0
Ямало-Ненецкий автономный округ;1.0
Сибирский федеральный округ;61.0
Республика Алтай;1.0
Республика Тыва;2.0
Республика Хакасия;2.0
Алтайский край;14.0
Красноярский край;11.0
Иркутская область;4.0
Кемеровская область - Кузбасс;9.0
Новосибирская область;8.0
Омская область;7.0
Томская область;3.0
Дальневосточный федеральный округ;42.0
Республика Бурятия;4.0
Республика Саха (Якутия);5.0
Забайкальский край;5.0
Приморский край;10.0
Камчатский край;5.0
Хабаровский край;8.0
Амурская область;3.0
Магаданская область;1.0
Сахалинская область;1.0
Еврейская автономная область;0.0
Чукотский автономный округ;0.0
Федеральные территории;0.0
Сириус;0.0
Российская Федерация;548.0
Центральный федеральный округ;132.0
Белгородская область;4.0
Брянская область;5.0
Владимирская область;6.0
Воронежская область;8.0
Ивановская область;3.0
Калужская область;3.0
Костромская область;2.0
Курская область;7.0
Липецкая область;2.0
гор. Москва;47.0
Московская область;12.0
Орловская область;5.0
Рязанская область;7.0
Смоленская область;4.0
Тамбовская область;2.0
Тверская область;3.0
Тульская область;4.0
Ярославская область;8.0
Северо-Западный федеральный округ;65.0
Республика Карелия;0.0
Республика Коми;4.0
Архангельская область;5.0
Вологодская область;10.0
Калининградская область;7.0
Ленинградская область;11.0
гор. Санкт-Петербург;17.0
Мурманская область;5.0
Новгородская область;1.0
Псковская область;5.0
Ненецкий автономный округ;0.0
Южный федеральный округ;72.0
Республика Адыгея (Адыгея);4.0
Республика Калмыкия;6.0
Республика Крым;8.0
Краснодарский край;30.0
Астраханская область;4.0
Волгоградская область;5.0
Ростовская область;11.0
гор. Севастополь;4.0
Северо-Кавказский федеральный округ;26.0
Республика Дагестан;6.0
Республика Ингушетия;2.0
Кабардино-Балкарская Республика;2.0
Карачаево-Черкесская Республика;2.0
Республика Северная Осетия-Алания;3.0
Чеченская Республика;1.0
Ставропольский край;10.0
Приволжский федеральный округ;105.0
Республика Башкортостан;14.0
Республика Марий Эл;2.0
Республика Мордовия;0.0
Республика Татарстан (Татарстан);9.0
Удмуртская Республика;8.0
Чувашская Республика - Чувашия;3.0
Пермский край;10.0
Кировская область;7.0
Нижегородская область;15.0
Оренбургская область;4.0
Пензенская область;10.0
Самарская область;11.0
Саратовская область;9.0
Ульяновская область;3.0
Уральский федеральный округ;59.0
Курганская область;3.0
Свердловская область;16.0
Тюменская область;13.0
Челябинская область;22.0
Ханты-Мансийский автономный округ - Югра;4.0
Ямало-Ненецкий автономный округ;1.0
Сибирский федеральный округ;59.0
Республика Алтай;1.0
Республика Тыва;1.0
Республика Хакасия;3.0
Алтайский край;8.0
Красноярский край;9.0
Иркутская область;9.0
Кемеровская область - Кузбасс;11.0
Новосибирская область;8.0
Омская область;7.0
Томская область;2.0
Дальневосточный федеральный округ;30.0
Республика Бурятия;7.0
Республика Саха (Якутия);1.0
Забайкальский край;4.0
Приморский край;8.0
Камчатский край;1.0
Хабаровский край;6.0
Амурская область;2.0
Магаданская область;0.0
Сахалинская область;1.0
Еврейская автономная область;0.0
Чукотский автономный округ;0.0
Федеральные территории;0.0
Сириус;0.0
