Территория;Количество женщин
Российская Федерация;1248.0
Центральный федеральный округ;297.0
Белгородская область;14.0
Брянская область;6.0
Владимирская область;10.0
Воронежская область;19.0
Ивановская область;10.0
Калужская область;12.0
Костромская область;9.0
Курская область;11.0
Липецкая область;11.0
гор. Москва;102.0
Московская область;32.0
Орловская область;6.0
Рязанская область;10.0
Смоленская область;6.0
Тамбовская область;10.0
Тверская область;10.0
Тульская область;14.0
Ярославская область;5.0
Северо-Западный федеральный округ;119.0
Республика Карелия;4.0
Республика Коми;4.0
Архангельская область;3.0
Вологодская область;10.0
Калининградская область;18.0
Ленинградская область;13.0
гор. Санкт-Петербург;38.0
Мурманская область;5.0
Новгородская область;14.0
Псковская область;10.0
Ненецкий автономный округ;0.0
Южный федеральный округ;183.0
Республика Адыгея (Адыгея);7.0
Республика Калмыкия;6.0
Республика Крым;13.0
Краснодарский край;76.0
Астраханская область;15.0
Волгоградская область;26.0
Ростовская область;32.0
гор. Севастополь;8.0
Северо-Кавказский федеральный округ;61.0
Республика Дагестан;10.0
Республика Ингушетия;1.0
Кабардино-Балкарская Республика;8.0
Карачаево-Черкесская Республика;3.0
Республика Северная Осетия-Алания;13.0
Чеченская Республика;0.0
Ставропольский край;26.0
Приволжский федеральный округ;230.0
Республика Башкортостан;27.0
Республика Марий Эл;4.0
Республика Мордовия;2.0
Республика Татарстан (Татарстан);33.0
Удмуртская Республика;14.0
Чувашская Республика - Чувашия;2.0
Пермский край;12.0
Кировская область;9.0
Нижегородская область;49.0
Оренбургская область;16.0
Пензенская область;13.0
Самарская область;24.0
Саратовская область;17.0
Ульяновская область;8.0
Уральский федеральный округ;89.0
Курганская область;5.0
Свердловская область;24.0
Тюменская область;21.0
Челябинская область;31.0
Ханты-Мансийский автономный округ - Югра;8.0
Ямало-Ненецкий автономный округ;0.0
Сибирский федеральный округ;160.0
Республика Алтай;1.0
Республика Тыва;2.0
Республика Хакасия;6.0
Алтайский край;33.0
Красноярский край;29.0
Иркутская область;23.0
Кемеровская область - Кузбасс;28.0
Новосибирская область;15.0
Омская область;19.0
Томская область;4.0
Дальневосточный федеральный округ;109.0
Республика Бурятия;15.0
Республика Саха (Якутия);6.0
Забайкальский край;9.0
Приморский край;32.0
Камчатский край;2.0
Хабаровский край;25.0
Амурская область;14.0
Магаданская область;2.0
Сахалинская область;2.0
Еврейская автономная область;2.0
Чукотский автономный округ;0.0
Федеральные территории;0.0
Сириус;0.0
