Российская Федерация;519.0
Центральный федеральный округ;109.0
Белгородская область;3.0
Брянская область;1.0
Владимирская область;4.0
Воронежская область;12.0
Ивановская область;4.0
Калужская область;6.0
Костромская область;2.0
Курская область;7.0
Липецкая область;7.0
гор. Москва;22.0
Московская область;18.0
Орловская область;1.0
Рязанская область;4.0
Смоленская область;2.0
Тамбовская область;6.0
Тверская область;4.0
Тульская область;3.0
Ярославская область;3.0
Северо-Западный федеральный округ;55.0
Республика Карелия;1.0
Республика Коми;2.0
Архангельская область;4.0
Вологодская область;7.0
Калининградская область;13.0
Ленинградская область;9.0
гор. Санкт-Петербург;9.0
Мурманская область;4.0
Новгородская область;5.0
Псковская область;1.0
Ненецкий автономный округ;0.0
Южный федеральный округ;70.0
Республика Адыгея (Адыгея);4.0
Республика Калмыкия;3.0
Республика Крым;4.0
Краснодарский край;28.0
Астраханская область;6.0
Волгоградская область;9.0
Ростовская область;12.0
гор. Севастополь;4.0
Северо-Кавказский федеральный округ;43.0
Республика Дагестан;9.0
Республика Ингушетия;1.0
Кабардино-Балкарская Республика;8.0
Карачаево-Черкесская Республика;3.0
Республика Северная Осетия-Алания;8.0
Чеченская Республика;1.0
Ставропольский край;13.0
Приволжский федеральный округ;104.0
Республика Башкортостан;8.0
Республика Марий Эл;8.0
Республика Мордовия;3.0
Республика Татарстан (Татарстан);9.0
Удмуртская Республика;5.0
Чувашская Республика - Чувашия;1.0
Пермский край;4.0
Кировская область;9.0
Нижегородская область;13.0
Оренбургская область;5.0
Пензенская область;9.0
Самарская область;15.0
Саратовская область;11.0
Ульяновская область;4.0
Уральский федеральный округ;39.0
Курганская область;2.0
Свердловская область;10.0
Тюменская область;8.0
Челябинская область;17.0
Ханты-Мансийский автономный округ - Югра;1.0
Ямало-Ненецкий автономный округ;1.0
Сибирский федеральный округ;53.0
Республика Алтай;2.0
Республика Тыва;5.0
Республика Хакасия;1.0
Алтайский край;6.0
Красноярский край;13.0
Иркутская область;3.0
Кемеровская область - Кузбасс;11.0
Новосибирская область;5.0
Омская область;5.0
Томская область;2.0
Дальневосточный федеральный округ;46.0
Республика Бурятия;9.0
Республика Саха (Якутия);4.0
Забайкальский край;3.0
Приморский край;14.0
Камчатский край;2.0
Хабаровский край;10.0
Амурская область;2.0
Магаданская область;1.0
Сахалинская область;1.0
Еврейская автономная область;0.0
Чукотский автономный округ;0.0
Федеральные территории;0.0
Сириус;0.0
