Российская Федерация;950.0
Центральный федеральный округ;249.0
Белгородская область;8.0
Брянская область;4.0
Владимирская область;13.0
Воронежская область;15.0
Ивановская область;7.0
Калужская область;9.0
Костромская область;5.0
Курская область;11.0
Липецкая область;15.0
гор. Москва;79.0
Московская область;28.0
Орловская область;4.0
Рязанская область;12.0
Смоленская область;5.0
Тамбовская область;8.0
Тверская область;9.0
Тульская область;7.0
Ярославская область;10.0
Северо-Западный федеральный округ;91.0
Республика Карелия;2.0
Республика Коми;4.0
Архангельская область;5.0
Вологодская область;9.0
Калининградская область;10.0
Ленинградская область;14.0
гор. Санкт-Петербург;31.0
Мурманская область;2.0
Новгородская область;5.0
Псковская область;9.0
Ненецкий автономный округ;0.0
Южный федеральный округ;128.0
Республика Адыгея (Адыгея);3.0
Республика Калмыкия;7.0
Республика Крым;8.0
Краснодарский край;46.0
Астраханская область;7.0
Волгоградская область;15.0
Ростовская область;34.0
гор. Севастополь;8.0
Северо-Кавказский федеральный округ;49.0
Республика Дагестан;18.0
Республика Ингушетия;3.0
Кабардино-Балкарская Республика;2.0
Карачаево-Черкесская Республика;2.0
Республика Северная Осетия-Алания;0.0
Чеченская Республика;2.0
Ставропольский край;22.0
Приволжский федеральный округ;188.0
Республика Башкортостан;24.0
Республика Марий Эл;6.0
Республика Мордовия;4.0
Республика Татарстан (Татарстан);26.0
Удмуртская Республика;16.0
Чувашская Республика - Чувашия;6.0
Пермский край;15.0
Кировская область;12.0
Нижегородская область;18.0
Оренбургская область;13.0
Пензенская область;14.0
Самарская область;8.0
Саратовская область;21.0
Ульяновская область;5.0
Уральский федеральный округ;70.0
Курганская область;3.0
Свердловская область;22.0
Тюменская область;19.0
Челябинская область;17.0
Ханты-Мансийский автономный округ - Югра;7.0
Ямало-Ненецкий автономный округ;2.0
Сибирский федеральный округ;109.0
Республика Алтай;2.0
Республика Тыва;5.0
Республика Хакасия;3.0
Алтайский край;17.0
Красноярский край;21.0
Иркутская область;14.0
Кемеровская область - Кузбасс;13.0
Новосибирская область;17.0
Омская область;15.0
Томская область;2.0
Дальневосточный федеральный округ;66.0
Республика Бурятия;5.0
Республика Саха (Якутия);9.0
Забайкальский край;7.0
Приморский край;23.0
Камчатский край;4.0
Хабаровский край;7.0
Амурская область;5.0
Магаданская область;0.0
Сахалинская область;3.0
Еврейская автономная область;3.0
Чукотский автономный округ;0.0
Федеральные территории;0.0
Сириус;0.0
